year,inflation_pct,gdp_growth_pct
1960,0.790205817960074,
1961,2.43079391009159,1.8792765563641
1962,2.67785968742788,5.44239137528237
1963,2.93161847051352,6.89892344200918
1964,3.32403316018127,3.65904831414015
1965,-0.665000000583401,8.1905275942481
1966,0.182882837621527,6.96931903096743
1967,1.20834031134425,5.65012592038407
1968,4.09389143106836,8.47330434699462
1969,2.62934083658332,5.4917999425584
1970,4.65229749303154,7.50313434335064
1971,3.08304841408707,6.77850542642193
1972,4.60112569280858,8.17804513351518
1973,15.2140342204182,7.70891581191246
1974,30.0736292803636,5.54489999097112
1975,17.3692020226552,2.10007104948492
1976,3.48583333291706,5.51756440295588
1977,4.1902404526167,8.90447443155173
1978,6.00712709994902,6.2676868244256
1979,9.18841043700977,4.93912395498313
1980,18.135170796071,0.751895403326316
1981,37.0563415239514,-2.26165550729665
1982,90.1213328504166,-7.28556884666179
1983,32.6237081487831,2.86299270239464
1984,11.9474270118864,8.02410790730326
1985,15.0574196445756,0.721601729268301
1986,11.8350618936099,5.53625084315689
1987,16.8424201630394,4.76453327969497
1988,20.8325332309203,3.43214737968853
1989,16.509808768739,5.66597554871299
1990,19.0397526635649,3.55306336572285
1991,28.7092913706618,2.26565496296193
1992,21.791168790061,9.2011037327736
1993,9.77860078293777,7.09719123999687
1994,13.5344687273427,4.51902837637206
1995,23.1864981102567,4.15395304333353
1996,17.5114524814591,1.35045949139338
1997,13.2480440791191,5.4761657765486
1998,11.6592997742233,7.15530857859194
1999,10.0452817292494,4.21481117123987
2000,10.9615496593622,3.86871808953644
2001,11.2556157091172,3.49116989434005
2002,9.16752048509119,3.41687639041064
2003,9.44758091616984,4.31717986636224
2004,12.3148150178852,4.42459959654504
2005,13.7982949108987,3.97666636818026
2006,11.4705968149052,7.3266954325067
2007,9.35724456417157,8.21513198348715
2008,13.4244635507284,4.73817487754022
2009,7.84270167700654,-0.873455942787785
2010,5.66275708420021,5.36034352634111
2011,4.87799830970702,4.40315923970431
2012,4.49545314354605,4.88259241025739
2013,5.23133614174428,2.49476611209954
2014,4.51920098516954,3.54210987765977
2015,0.801982005099623,3.65208096802883
2016,-0.0174788505908217,4.20432325175899
2017,1.62590692991732,4.1576989627609
2018,2.22111461526581,2.6159044043379
2019,2.09604635327807,2.41751181762513
2020,0.724911478131376,-4.27335432161462
2021,1.72647755109241,7.93576224743147
2022,8.27477490232654,4.55149177958398
2023,0.525193508693455,5.11192183224598
2024,-0.412853001047069,4.32122429646145
