date,temperature_2m_mean,precipitation_sum
2018-08-01,19.1,24.2
2018-08-02,18.5,33.7
2018-08-03,19.2,12.1
2018-08-04,19.5,16.0
2018-08-05,20.0,0.3
2018-08-06,19.9,5.0
2018-08-07,20.9,0.6
2018-08-08,20.9,3.3
2018-08-09,21.3,0.2
2018-08-10,20.6,2.9
2018-08-11,20.6,1.8
2018-08-12,20.5,0.3
2018-08-13,20.2,2.7
2018-08-14,19.3,3.9
2018-08-15,19.0,1.4
2018-08-16,19.1,17.4
2018-08-17,20.2,0.9
2018-08-18,20.1,0.0
2018-08-19,20.1,1.2
2018-08-20,20.2,2.0
2018-08-21,20.5,1.7
2018-08-22,20.3,0.1
2018-08-23,19.9,1.7
2018-08-24,19.8,9.7
2018-08-25,20.1,1.1
2018-08-26,19.6,15.5
2018-08-27,19.0,18.9
2018-08-28,19.4,13.3
2018-08-29,20.0,0.5
2018-08-30,19.5,12.9
2018-08-31,19.0,1.7
2018-09-01,19.7,5.4
2018-09-02,19.7,10.5
2018-09-03,20.0,8.5
2018-09-04,20.1,17.1
2018-09-05,19.5,23.8
2018-09-06,18.7,23.3
2018-09-07,18.4,6.5
2018-09-08,18.8,11.2
2018-09-09,19.1,0.5
2018-09-10,19.2,11.5
2018-09-11,19.2,6.4
2018-09-12,19.6,5.4
2018-09-13,19.4,15.8
2018-09-14,19.1,20.1
2018-09-15,19.0,1.3
2018-09-16,19.5,1.8
2018-09-17,18.9,7.0
2018-09-18,19.7,6.5
2018-09-19,20.5,3.0
2018-09-20,19.6,14.1
2018-09-21,20.5,4.1
2018-09-22,19.7,9.3
2018-09-23,19.9,20.1
2018-09-24,19.3,43.0
2018-09-25,19.3,2.7
2018-09-26,19.5,11.5
2018-09-27,19.2,17.0
2018-09-28,19.0,25.8
2018-09-29,19.5,21.7
2018-09-30,19.2,24.8
2018-10-01,19.5,26.2
2018-10-02,18.9,9.5
2018-10-03,18.1,33.8
2018-10-04,17.9,40.2
2018-10-05,16.7,35.0
2018-10-06,17.8,0.0
2018-10-07,18.8,0.0
2018-10-08,18.6,6.9
2018-10-09,19.2,9.7
2018-10-10,19.0,6.7
2018-10-11,18.7,7.4
